םמלונ ךג;עטן ךג.;מב.ןכמש;זטכ.ןכ;ךמכ.ךמל;‎עאז ;Öוםא;צוםא חא ךג.;גטה ;ןמהüוחה;;
1;E3;70.2;67.0;3;1;5265 000;75 000;הגמנ ;ןמהתוחה 1 ;;
2;E2;47.8;44.2;2;1;3824 000;80 000;כוס;ןמהתוחה 1 ;;
3;Ñ;30.4;27.8;Ñ;1;2432 000;80 000;כוס;ןמהתוחה 1 ;;
4;1;40.9;38.1;1;1;3272 000;80 000;כוס;ןמהתוחה 1 ;;
5;1;40.2;37.4;1;1;3216 000;80 000;כוס;ןמהתוחה 1 ;;
6;C;30.3;27.7;Ñ;1;2424 000;80 000;כוס;ןמהתוחה 1 ;;
7;Å2;50.5;46.9;2;1;3787 000;75 000;כוס;ןמהתוחה 1 ;;
8;Ñ;28.6;26.5;Ñ;1;2288 000;80 000;כוס;ןמהתוחה 1 ;;
81;E3;74.7;67.2;3;1;5602 500;75 000;הגמנ ;ןמהüוחה 2 ;;
82;E2;48.4;45.1;2;1;3630 000;75 000;ףכטצא;ןמהüוחה 2 ;;
83;1;39.1;35.3;1;1;2932 500;75 000;ףכטצא;ןמהüוחה 2 ;;
84;1;39.3;36.5;1;1;2947 000;75 000;ףכטצא;ןמהüוחה 2 ;;
85;Ñ;38.6;26.2;Ñ;1;2142 000;75 000;ףכטצא;ןמהüוחה 2 ;;
86;C;31.1;28.5;Ñ;1;2332 500;75 000;ףכטצא ;ןמהüוחה 2 ;;
87;Ñ;30.2;27.6;Ñ;1;2265 000;75 000;הגמנ ;ןמהüוחה 2 ;;
88;Å2;48.2;45.0;2;1;3615 000;75 000;הגמנ ;ןמהüוחה 2 ;;
89;E3;74.70;67.20;3;2;5976 000;80 000;הגמנ ;ןמהתוחה 2;;
90;E2;48.40;45.10;2;2;3756 600;77 000;ףכטצא;ןמהתוחה 2;;
91;1;39.10;36.30;1;2;3010 070;77 000;ףכטצא;ןמהתוחה 2;;
92;1;39.40;36.60;1;2;3033 800;77 000;ףכטצא;ןמהתוחה 2;;
93;C;28.60;26.20;1;2;2202 200;77 000;ףכטצא;ןמהתוחה 2;;
94;C;31.10;28.50;1;2;2394 700;77 000;ףכטצא;ןמהתוחה 2;;
95;C;30.20;27.60;1;2;2416 000;80 000;הגמנ ;ןמהתוחה 2;;
96;E2;48.30;45.10;2;2;3864 000;80 000;הגמנ ;ןמהתוחה 2;;
97;E3;74.70;67.20;3;3;5976 000;80 000;הגמנ ;ןמהתוחה 2;;
98;E2;48.40;45.10;2;3;3756 600;77 000;ףכטצא;ןמהתוחה 2;;
99;1;39.10;36.30;1;3;3010 070;77 000;ףכטצא;ןמהתוחה 2;;
100;1;39.40;36.60;1;3;3033 800;77 000;ףכטצא;ןמהתוחה 2;;
101;C;28.60;26.20;1;3;2202 200;77 000;ףכטצא;ןמהתוחה 2;;
102;C;31.10;28.50;1;3;2394 700;77 000;ףכטצא;ןמהתוחה 2;;
103;C;30.20;27.60;1;3;2416 000;80 000;הגמנ ;ןמהתוחה 2;;
104;E2;48.30;45.10;2;3;3864 000;80 000;הגמנ ;ןמהתוחה 2;;
9;E3;70.20;67.00;3;2;5826 600;83 000;כוס;ןמהתוחה 1 ;;
10;E2;47.80;44.20;2;2;3967 400;83 000;כוס;ןמהתוחה 1 ;;
11;C;30.40;27.80;1;2;2523 200;83 000;כוס;ןמהתוחה 1;;
12;1;40.90;38.10;1;2;3523 200;83 000;כוס;ןמהתוחה 1;;
13;1;40.20;37.40;1;2;3336 200;83 000;כוס;ןמהתוחה 1;;
14;C;30.30;27.70;1;2;2514 900;83 000;כוס;ןמהתוחה 1;;
15;E2;50.50;46.90;2;2;4191 500;83 000;כוס;ןמהתוחה 1;;
16;C;28.60;26.50;1;2;2373 800;83 000;כוס;ןמהתוחה 1;;
17;E3;70.20;67.00;3;3;5826 600;83 000;כוס;ןמהתוחה 1 ;;
18;E2;47.80;44.20;2;3;3967 400;83 000;כוס;ןמהתוחה 1 ;;
19;C;30.40;27.80;1;3;2523 200;83 000;כוס;ןמהתוחה 1;;
20;1;40.90;38.10;1;3;3523 200;83 000;כוס;ןמהתוחה 1;;
21;1;40.20;37.40;1;3;3336 200;83 000;כוס;ןמהתוחה 1;;
22;C;30.30;27.70;1;3;2514 900;83 000;כוס;ןמהתוחה 1;;
23;E2;50.50;46.90;2;3;4191 500;83 000;כוס;ןמהתוחה 1;;
24;C;28.60;26.50;1;3;2373 800;83 000;כוס;ןמהתוחה 1;;
105;E3;74.60;67.10;3;4;5976 000;80 000;הגמנ ;ןמהתוחה 2;;
106;E2;48.40;45.10;2;4;3756 600;77 000;ףכטצא;ןמהתוחה 2;;
107;1;36.20;39.00;1;4;3010 070;77 000;ףכטצא;ןמהתוחה 2;;
108;1;39.30;36.50;1;4;3033 800;77 000;ףכטצא;ןמהתוחה 2;;
109;C;28.60;26.20;1;4;2202 200;77 000;ףכטצא;ןמהתוחה 2;;
110;C;31.00;28.40;1;4;2394 700;77 000;ףכטצא;ןמהתוחה 2;;
