Номер квартиры;Тип квартиры;Общая площадь;Жилая площадь;Количество комнат;Этаж;Цена квартиры;Цена 1 кв.м.;;Подъезд
1;Е2;"50,2";"48,4";1;1;3.865.400;77.000;;1
2;3;"85,8";"81,4";3;1;6.263.400;73.000;;1
3;2;"62,4";"59,3";2;1;4.804.800;77.000;;1
4;С;"30,7";"26,9";1;1;2.363.900;77.000;;1
5;1;"41,4";"38,8";1;1;3.187.800;77.000;;1
6;3;"66,1";"64,5";3;1;4.825.300;73.000;;1
7;2;"50,1";"47,4";2;1;3.757.500;75.000;;1
8;С;"34,7";"32,9";1;1;2.671.900;77.000;;1
9;Е2;"49,8";48;1;2;3.834.600;77.000;;1
10;3;"85,2";"80,8";3;2;6.219.600;73.000;;1
11;2;"61,9";58.80;2;2;4.642.500;75.000;;1
12;С;"30,2";26.40;1;2;2.325.400;77.000;;1
13;1;"40,9";38.30;1;2;3.149.300;77.000;;1
14;3;"65,6";64.00;3;2;4.788.800;73.000;;1
15;2;"49,6";46.90;2;2;3.720.000;75.000;;1
16;С;"34,3";32.50;1;2;2.641.100;77.000;;1
17;Е2;"49,8";48.00;1;3;3.834.600;77.000;;1
18;3;"85,2";80.80;3;3;6.219.600;73.000;;1
19;2;"61,9";58.80;2;3;4.642.500;75.000;;1
20;С;"30,2";26.40;1;3;2.325.400;77.000;;1
21;1;"40,9";38.30;1;3;3.149.300;77.000;;1
22;3;"65,6";64.00;3;3;4.788.800;73.000;;1
23;2;"49,6";46.90;2;3;3.720.000;75.000;;1
24;С;"34,3";32.50;1;3;2.641.100;77.000;;1
25;Е2;"49,7";47.90;1;4;3.826.900;77.000;;1
26;3;"85,1";80.70;3;4;6.212.300;73.000;;1
27;2;"61,9";58.80;2;4;4.642.500;75.000;;1
28;С;"30,1";26.30;1;4;2.317.700;77.000;;1
29;1;"40,8";38.20;1;4;3.141.600;77.000;;1
30;3;"65,6";63.90;3;4;4.788.800;73.000;;1
31;2;"49,6";46.90;2;4;3.720.000;75.000;;1
32;С;"34,2";32.40;1;4;2.633.400;77.000;;1
33;Е2;"49,7";47.90;1;5;3.826.900;77.000;;1
34;3;"85,1";80.70;3;5;6.212.300;73.000;;1
35;2;"61,9";58.80;2;5;4.642.500;75.000;;1
36;С;"30,1";26.30;1;5;2.317.700;77.000;;1
37;1;"40,8";38.20;1;5;3.141.600;77.000;;1
38;3;"65,5";63.90;3;5;4.781.500;73.000;;1
39;2;"49,6";46.90;2;5;3.720.000;75.000;;1
40;С;"34,2";32.40;1;5;2.633.400;77.000;;1
41;Е2;"49,6";47.80;1;6;3.819.200;77.000;;1
42;3;85;80.60;3;6;6.205.000;73.000;;1
43;2;"61,8";58.70;2;6;4.635.000;75.000;;1
44;С;"30,1";26.30;1;6;2.317.700;77.000;;1
45;1;"40,8";38.20;1;6;3.141.600;77.000;;1
46;3;"65,5";63.90;3;6;4.781.500;73.000;;1
47;2;"49,5";46.80;2;6;3.712.500;75.000;;1
48;С;"34,1";32.30;1;6;2.625.700;77.000;;1
49;Е2;"49,6";47.80;1;7;3.819.200;77.000;;1
50;3;85;80.60;3;7;6.205.000;73.000;;1
51;2;"61,8";58.70;2;7;4.635.000;75.000;;1
52;С;"30,1";26.30;1;7;2.317.700;77.000;;1
53;1;"40,8";38.20;1;7;3.141.600;77.000;;1
54;3;"65,5";63.90;3;7;4.781.500;73.000;;1
55;2;"49,5";46.80;2;7;3.712.500;75.000;;1
56;С;"34,1";32.30;1;7;2.625.700;77.000;;1
57;Е2;"49,6";47.80;1;8;3.819.200;77.000;;1
58;3;85;80.60;3;8;6.205.000;73.000;;1
59;2;"61,8";58.70;2;8;4.635.000;75.000;;1
60;С;"30,1";26.30;1;8;2.317.700;77.000;;1
61;1;"40,8";38.20;1;8;3.141.600;77.000;;1
62;3;"65,5";63.90;3;8;4.781.500;73.000;;1
63;2;"49,5";46.80;2;8;3.712.500;75.000;;1
64;С;"34,1";32.30;1;8;2.625.700;77.000;;1
65;Е2;"49,5";47.80;1;9;3.811.500;77.000;;1
66;3;85;80.60;3;9;6.205.000;73.000;;1
67;2;"61,8";58.70;2;9;4.635.000;75.000;;1
68;С;"30,1";26.30;1;9;2.317.700;77.000;;1
69;1;"40,8";38.20;1;9;3.141.600;77.000;;1
70;3;"65,5";63.90;3;9;4.781.500;73.000;;1
71;2;"49,5";46.80;2;9;3.712.500;75.000;;1
72;С;"34,1";32.30;1;9;2.625.700;77.000;;1
73;Е2;"49,6";47.80;1;10;3.819.200;77.000;;1
74;3;85;80.60;3;10;6.205.000;73.000;;1
75;2;"61,8";58.70;2;10;4.635.000;75.000;;1
76;С;"30,1";26.30;1;10;2.317.700;77.000;;1
77;1;"40,8";38.20;1;10;3.141.600;77.000;;1
78;3;"65,5";63.90;3;10;4.781.500;73.000;;1
79;2;"49,5";46.80;2;10;3.712.500;75.000;;1
80;С;"34,1";32.30;1;10;2.625.700;77.000;;1
81;1;"34,2";32.40;1;1;2.633.400;77.000;;2
82;3;64;62.40;3;1;4.672.000;73.000;;2
83;1;"37,1";34.30;1;1;2.856.700;77.000;;2
84;1;"36,9";34.30;1;1;2.841.300;77.000;;2
85;2;"48,4";46.10;2;1;3.630.000;75.000;;2
86;1;"34,1";32.40;1;1;2.625.700;77.000;;2
87;3;"66,3";64.60;3;1;4.839.900;73.000;;2
88;2;"50,1";47.40;2;1;3.757.500;75.000;;2
89;1;"34,2";32.40;1;1;2.633.400;77.000;;2
90;1;"33,8";32.00;1;2;2.602.600;77.000;;2
91;3;"63,5";61.90;3;2;4.635.500;73.000;;2
92;1;"36,7";33.90;1;2;2.825.900;77.000;;2
93;1;"36,4";33.80;1;2;2.802.800;77.000;;2
94;2;48;45.70;2;2;3.600.000;75.000;;2
95;1;"33,7";32.00;1;2;2.594.900;77.000;;2
96;3;"65,58";64.10;3;2;4.787.340;73.000;;2
97;2;"49,6";46.90;2;2;3.720.000;75.000;;2
98;1;"33,8";32.00;1;2;2.602.600;77.000;;2
99;2;"49,5";47.70;2;3;3.712.500;75.000;;2
100;2;"48,1";46.50;2;3;3.607.500;75.000;;2
101;1;"36,7";33.90;1;3;2.825.900;77.000;;2
102;1;"36,4";33.80;1;3;2.802.800;77.000;;2
103;2;48;45.70;2;3;3.600.000;75.000;;2
104;1;"33,7";32.00;1;3;2.594.900;77.000;;2
105;3;"65,8";64.10;2;3;4.935.000;75.000;;2
106;2;"49,6";46.90;2;3;3.720.000;75.000;;2
107;1;"33,8";32.00;1;3;2.602.600;77.000;;2
108;2;"49,4";47.60;2;4;3.705.000;75.000;;2
109;2;48;46.40;2;4;3.600.000;75.000;;2
110;1;"36,6";33.80;1;4;2.818.200;77.000;;2
111;1;"36,3";33.70;1;4;2.795.100;77.000;;2
112;2;"47,9";45.60;2;4;3.592.500;75.000;;2
113;1;"33,6";31.90;1;4;2.587.200;77.000;;2
114;3;"65,7";64.00;3;4;4.796.100;73.000;;2
115;2;"49,6";46.90;2;4;3.720.000;75.000;;2
116;1;"33,7";31.90;1;4;2.594.900;77.000;;2
117;2;"49,4";47.69;2;5;3.705.000;75.000;;2
118;2;"48,8";46.40;2;5;3.660.000;75.000;;2
119;1;"36,6";33.80;1;5;2.818.200;77.000;;2
120;1;"36,3";33.80;1;5;2.795.100;77.000;;2
121;2;"47,9";45.60;2;5;3.592.500;75.000;;2
122;1;"33,6";31.90;1;5;2.587.200;77.000;;2
123;3;"65,7";64.00;3;5;4.796.100;73.000;;2
124;2;"49,6";46.90;2;5;3.720.000;75.000;;2
125;1;"33,7";31.90;1;5;2.594.900;77.000;;2
126;2;"49,3";47.50;2;6;3.697.500;75.000;;2
127;2;"47,9";46.30;2;6;3.592.500;75.000;;2
128;1;"36,5";33.70;1;6;2.810.500;77.000;;2
129;1;"36,2";33.60;1;6;2.787.400;77.000;;2
130;2;"47,8";45.50;2;6;3.585.000;75.000;;2
131;1;"33,5";31.80;1;6;2.579.500;77.000;;2
132;3;"65,7";64.00;3;6;4.796.100;73.000;;2
133;2;"49,5";46.80;2;6;3.712.500;75.000;;2
134;1;"33,6";31.80;1;6;2.587.200;77.000;;2
135;2;"49,3";47.50;2;7;3.697.500;75.000;;2
136;2;"47,9";46.30;2;7;3.592.500;75.000;;2
137;1;"36,5";33.70;1;7;2.810.500;77.000;;2
138;1;"36,2";33.60;1;7;2.787.400;77.000;;2
139;2;"47,8";45.50;2;7;3.585.000;75.000;;2
140;1;"33,5";31.80;1;7;2.579.500;77.000;;2
141;3;"65,7";64.00;3;7;4.796.100;73.000;;2
142;2;"49,5";46.80;2;7;3.712.500;75.000;;2
143;1;"33,6";31.80;1;7;2.587.200;77.000;;2
144;2;"49,3";47.50;2;8;3.697.500;75.000;;2
145;2;"47,9";46.30;2;8;3.592.500;75.000;;2
146;1;"36,5";33.70;1;8;2.810.500;77.000;;2
147;1;"36,2";33.60;1;8;2.787.400;77.000;;2
148;2;"47,8";45.50;2;8;3.585.000;75.000;;2
149;1;"33,5";31.80;1;8;2.579.500;77.000;;2
150;3;"65,7";64.00;3;8;4.796.100;73.000;;2
151;2;"49,5";46.80;2;8;3.712.500;75.000;;2
152;1;"33,6";31.80;1;8;2.587.200;77.000;;2
153;2;"49,3";47.50;2;9;3.697.500;75.000;;2
154;2;"47,9";46.30;2;9;3.592.500;75.000;;2
155;1;"36,5";33.70;1;9;2.810.500;77.000;;2
156;1;"36,2";33.60;1;9;2.787.400;77.000;;2
157;2;"47,8";45.50;2;9;3.585.000;75.000;;2
158;1;"33,5";31.80;1;9;2.579.500;77.000;;2
159;3;"65,7";64.00;3;9;4.796.100;73.000;;2
160;2;"49,5";46.80;2;9;3.712.500;75.000;;2
161;1;"33,6";31.80;1;9;2.587.200;77.000;;2
162;2;"49,3";47.50;2;10;3.697.500;75.000;;2
163;2;"47,9";47.50;2;10;3.592.500;75.000;;2
164;1;"36,5";33.70;1;10;2.810.500;77.000;;2
165;1;"36,2";33.60;1;10;2.787.400;77.000;;2
166;2;"47,8";45.50;2;10;3.585.000;75.000;;2
167;1;"33,5";31.80;1;10;2.579.500;77.000;;2
168;3;"65,7";64.00;3;10;4.796.100;73.000;;2
169;2;"49,5";46.80;2;10;3.712.500;75.000;;2
170;1;"33,6";31.80;1;10;2.587.200;77.000;;2
